player_name,birthday,age,height_m,weight_kg,imc,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
Aaron Mokoena,1980-11-25,35,1.83,82.1,24.55,71.62,76.0,right,medium,high,26.0,56.12,79.75,80.12,32.0,67.12,44.0,66.88,71.12,67.88,62.88,68.25,55.0,69.88,68.0,47.0,75.0,71.38,59.62,25.0,70.0,69.88,61.25,63.12,51.5,72.88,77.0,75.38,6.5,12.5,43.0,17.25,16.62
Aaron Mooy,1990-09-15,25,1.75,68.04,22.15,66.29,73.14,right,medium,medium,66.57,61.21,43.46,70.64,62.54,66.25,66.64,71.61,67.36,69.21,72.75,72.36,70.57,63.57,65.86,67.18,70.57,75.79,62.57,64.25,64.14,53.32,58.75,70.46,60.04,48.79,52.71,45.07,10.29,7.29,11.29,10.29,11.29
Aaron Muirhead,1990-08-30,25,1.88,76.2,21.57,62.25,70.0,right,medium,high,48.0,23.0,65.0,58.0,25.0,46.0,21.0,24.0,56.0,48.0,64.5,67.38,49.0,60.5,53.0,37.0,71.0,55.0,84.5,24.0,66.5,58.25,21.0,31.0,74.0,58.5,61.5,55.0,8.0,11.0,6.0,6.0,7.0
Aaron Niguez,1989-04-26,27,1.7,64.86,22.4,66.93,75.3,left,high,medium,59.56,66.22,53.89,58.15,60.0,72.26,65.0,55.07,54.89,72.59,77.67,76.7,76.67,61.63,76.93,66.48,66.93,68.0,48.85,60.74,44.56,43.07,63.89,61.3,61.93,32.41,28.89,36.0,12.96,14.0,15.56,15.63,11.56
Aaron Ramsey,1990-12-26,25,1.78,69.85,22.1,78.5,84.68,right,high,high,72.88,70.92,56.75,82.68,73.92,78.88,64.6,69.0,80.15,80.15,72.8,70.15,73.35,75.25,71.92,77.22,62.85,88.98,68.1,75.2,67.32,67.53,76.7,81.05,75.18,59.3,68.92,64.15,6.25,12.25,13.38,11.38,9.62
Aaron Splaine,1996-10-13,19,1.73,73.94,24.78,54.62,62.62,left,medium,medium,54.38,51.38,42.38,55.88,41.38,52.38,44.38,42.38,51.38,51.38,65.0,66.0,64.5,52.38,60.75,53.38,52.0,55.62,38.88,51.38,48.38,29.38,51.38,54.38,54.38,42.38,46.38,44.38,10.38,12.38,7.38,13.38,8.38
Aaron Taylor-Sinclair,1991-04-08,25,1.83,79.83,23.87,62.61,69.5,left,high,medium,59.61,23.83,58.39,61.83,24.39,63.83,56.39,57.39,46.39,61.06,72.39,74.0,74.39,61.39,66.22,57.94,64.33,78.83,67.0,26.72,64.39,54.56,48.39,44.22,39.39,58.67,62.5,60.56,8.39,10.39,11.39,7.39,8.39
Aaron Wilbraham,1979-10-21,36,1.9,72.12,19.87,61.77,64.14,right,medium,medium,47.36,64.45,72.86,56.09,55.18,47.32,45.05,41.59,37.27,61.82,51.64,56.23,40.82,61.82,57.09,65.68,72.95,57.59,76.14,47.5,67.68,29.09,66.14,59.73,66.45,23.55,21.45,20.41,15.32,17.09,18.68,15.59,16.27
Aatif Chahechouhe,1986-07-02,29,1.75,68.04,22.15,69.38,74.5,right,medium,medium,69.5,78.0,57.19,73.5,76.44,75.19,68.44,62.44,67.44,73.0,74.5,75.12,74.75,66.0,66.38,76.31,58.25,77.75,56.31,72.31,38.44,34.94,65.88,65.94,73.19,25.44,26.44,23.44,6.44,9.44,7.44,14.44,9.44
Abdelaziz Barrada,1989-06-19,26,1.78,73.03,23.1,71.86,78.86,right,medium,medium,70.21,58.36,50.36,68.0,62.36,73.43,73.93,73.64,69.07,75.43,75.57,78.29,77.57,74.07,73.29,70.07,64.43,67.29,65.93,69.57,69.36,35.36,67.21,71.64,62.5,34.36,41.36,32.36,10.36,6.36,5.36,15.36,6.36
Abdelhamid El Kaoutari,1990-03-17,26,1.8,73.03,22.45,68.29,73.57,left,medium,medium,61.14,20.05,62.33,61.86,23.19,43.9,22.19,22.19,55.52,58.29,64.52,66.1,48.52,65.9,61.14,55.33,70.67,61.38,71.19,34.57,77.86,64.0,45.62,51.52,31.1,68.86,69.1,72.1,7.76,11.9,14.62,9.33,10.19
Abdelkader Ghezzal,1984-12-05,31,1.83,78.02,23.33,68.69,71.31,right,medium,medium,63.5,63.85,65.73,66.15,71.31,70.54,63.0,61.96,52.96,70.46,72.69,76.58,66.85,69.92,63.88,69.73,64.65,64.65,77.08,69.15,62.23,35.0,66.19,57.96,66.54,26.65,35.19,32.19,09.04,8.69,18.31,8.69,9.5
Abdellah Zoubir,1991-12-05,24,1.8,73.03,22.45,59.0,69.0,right,medium,medium,49.0,56.0,47.0,56.0,64.0,73.0,52.0,48.0,53.0,64.0,69.8,70.0,73.0,67.0,63.0,57.0,65.4,47.6,43.0,53.0,36.0,28.0,52.0,46.0,58.0,36.0,32.0,30.0,7.0,14.0,14.0,13.0,14.0
Abdelmalek El Hasnaoui,1994-02-09,22,1.8,72.12,22.18,63.0,72.0,left,medium,medium,42.0,52.0,39.0,64.0,40.0,72.0,67.0,45.0,56.0,67.0,75.0,78.0,82.0,62.0,72.0,48.0,65.0,62.0,53.0,52.0,40.0,23.0,46.0,64.0,46.0,32.0,33.0,40.0,8.0,13.0,8.0,15.0,8.0
Abdelouahed Chakhsi,1986-10-01,29,1.83,77.11,23.06,54.33,59.5,right,medium,medium,53.0,34.33,48.0,56.67,29.0,52.67,35.0,39.0,56.0,51.83,69.0,62.0,56.0,55.0,59.0,56.0,63.5,71.0,71.0,50.0,49.67,47.33,51.83,53.0,45.0,51.17,58.33,53.0,10.0,7.0,8.0,11.0,10.0
Abderrazak Jadid,1983-06-01,32,1.78,71.21,22.53,63.31,65.54,right,medium,medium,64.69,57.23,47.23,64.62,62.31,65.54,69.85,63.85,62.46,70.54,68.0,67.15,63.15,57.0,63.62,65.23,52.62,60.77,51.46,60.62,51.69,51.0,59.85,62.08,56.77,45.62,45.15,43.69,7.38,16.46,28.0,12.46,14.08
Abdou Diallo,1996-05-04,20,1.83,72.12,21.56,63.1,72.2,left,medium,medium,41.4,29.4,60.4,58.4,36.4,46.4,40.4,31.4,45.7,49.4,60.1,63.7,46.0,52.0,64.0,41.4,74.2,68.8,58.2,23.4,59.7,60.9,29.4,32.4,40.4,65.2,71.2,68.2,11.4,6.4,6.4,6.4,7.4
Abdou Traore,1988-01-17,28,1.8,78.93,24.27,67.48,74.08,right,medium,medium,59.4,59.16,59.92,73.44,61.72,72.36,65.76,45.84,67.4,73.6,73.04,71.12,75.2,65.4,68.2,63.64,55.16,61.36,61.56,59.2,55.88,58.32,55.68,69.36,48.84,61.48,60.6,59.44,6.44,14.52,21.28,12.0,10.32
Abdoul Ba,1994-02-08,22,02.01,96.16,23.88,63.29,67.57,right,medium,medium,34.29,29.29,55.29,56.29,31.29,35.29,26.29,29.29,32.29,51.29,58.29,64.71,47.0,55.29,25.0,40.29,55.86,52.0,95.0,26.29,48.29,58.29,27.29,30.29,46.29,62.86,68.86,63.86,8.29,10.29,12.29,11.29,14.29
Abdoul Karim Yoda,1988-10-25,27,1.83,73.03,21.84,62.77,67.14,left,medium,medium,59.59,46.59,48.95,64.59,45.45,62.77,50.91,52.68,53.91,66.36,75.14,75.36,71.18,56.41,61.45,58.95,67.5,70.86,64.05,45.73,62.05,42.77,57.05,53.0,50.23,49.77,53.59,46.59,10.64,15.64,19.5,12.36,8.27
Abdoul Razzagui Camara,1990-02-20,26,1.78,71.21,22.53,68.29,74.54,left,medium,medium,63.92,66.67,64.29,64.54,57.46,70.33,65.12,48.29,61.29,67.25,78.71,80.17,74.71,68.17,72.5,70.96,69.46,67.88,67.54,68.38,63.46,29.12,59.5,64.92,51.42,21.79,21.67,20.0,9.54,16.29,17.17,12.79,16.29
Abdoulay Konko,1984-03-09,32,1.83,71.21,21.29,74.94,76.48,right,medium,medium,78.1,47.13,64.68,75.65,63.61,75.55,70.29,56.35,71.74,75.68,81.0,82.23,78.77,74.19,74.32,71.84,77.65,77.87,73.58,65.55,77.0,72.52,66.84,63.97,53.32,71.06,74.71,77.9,10.68,15.58,19.65,12.52,14.9
Abdoulaye Ba,1991-01-01,25,1.98,78.93,20.11,70.58,76.58,right,medium,medium,34.23,21.23,80.29,50.03,29.23,34.03,35.23,54.35,41.1,51.26,47.68,55.23,36.87,64.26,43.32,55.55,71.68,64.55,82.06,47.81,83.97,68.42,24.23,38.97,64.13,69.42,72.16,65.87,10.23,11.23,11.23,14.23,14.23
Abdoulaye Bamba,1990-04-25,26,1.83,68.04,20.34,65.33,73.87,right,medium,medium,65.27,27.07,60.33,63.07,48.07,49.73,57.07,48.07,59.07,59.67,75.07,76.53,73.27,66.07,62.6,49.07,70.4,75.6,67.8,52.07,62.07,64.73,21.07,56.07,37.07,61.13,65.47,64.27,13.2,12.2,7.2,6.2,7.2
Abdoulaye Diaby,1991-05-21,25,1.73,69.85,23.42,68.3,73.75,right,medium,medium,65.9,73.0,65.65,67.9,64.45,65.0,51.9,48.65,62.65,62.0,84.1,86.4,79.05,69.95,78.0,63.4,69.95,71.85,58.4,56.75,50.65,42.95,68.65,65.3,61.0,41.45,42.45,43.85,11.4,13.4,7.4,6.4,8.4
Abdoulaye Diallo,1992-03-30,24,1.88,78.93,22.34,65.26,75.05,right,medium,medium,17.42,17.16,18.21,34.53,21.32,19.0,18.32,17.05,26.68,25.11,42.0,33.68,57.0,70.26,53.26,32.37,66.0,36.53,69.74,17.68,20.84,24.0,16.63,27.68,23.37,21.37,21.89,18.32,65.0,61.79,59.26,61.37,74.26
Abdoulaye Doucoure,1993-01-01,23,1.83,74.84,22.38,64.61,74.83,right,medium,medium,51.06,50.67,58.39,68.22,34.67,62.28,30.17,32.0,62.44,66.44,65.56,63.78,60.78,60.61,63.56,64.17,71.0,67.78,69.39,53.44,67.44,64.17,49.5,63.11,44.17,56.22,66.5,60.39,14.17,11.17,11.17,14.17,13.17
Abdoulaye Faye,1978-02-26,38,1.88,98.88,27.99,72.2,73.87,right,low,medium,36.13,38.93,77.33,53.73,34.0,44.93,29.4,30.53,58.53,54.8,51.33,49.27,44.87,69.53,61.0,46.6,76.27,58.53,82.13,31.4,81.2,67.4,43.73,42.0,43.2,71.6,74.47,71.33,10.33,16.47,28.07,16.4,11.93
Abdoulaye Keita,1994-01-05,22,1.75,74.84,24.37,60.0,68.0,right,medium,medium,44.29,33.29,52.71,64.29,42.29,53.29,38.29,39.29,61.29,62.29,61.29,64.0,57.0,56.71,74.0,62.0,59.0,61.57,58.14,54.29,58.71,64.29,56.29,58.29,53.29,45.14,63.29,58.29,13.29,6.29,12.29,10.29,8.29
Abdoulaye Meite,1980-10-06,35,1.85,82.1,23.88,69.55,73.64,right,medium,medium,39.73,34.18,76.18,54.91,30.0,28.36,29.73,32.82,48.91,55.55,56.27,49.45,39.45,58.18,59.64,45.82,74.91,66.0,83.91,41.55,80.18,65.0,49.55,43.64,61.45,66.91,69.91,64.82,05.09,17.27,27.27,17.0,15.82
Abdoulaye Toure,1994-03-03,22,1.88,77.11,21.83,59.86,74.0,right,medium,high,46.0,34.0,66.0,65.57,39.0,57.0,41.0,49.0,63.86,59.14,61.57,57.86,46.0,69.0,41.0,57.0,59.0,68.0,74.0,47.29,67.0,56.14,35.0,45.14,39.0,54.43,61.14,57.57,8.0,15.0,9.0,9.0,7.0
Abdoulwahid Sissoko,1990-03-20,26,1.83,74.84,22.38,64.62,74.0,left,high,medium,58.33,55.48,56.95,70.29,50.67,51.1,52.24,46.38,66.05,68.0,67.38,68.57,67.1,69.52,63.67,62.52,61.14,71.24,68.24,50.95,67.81,55.48,60.24,61.67,49.67,56.19,64.14,58.38,14.0,10.0,10.0,7.0,8.0
Abdourahman Dampha,1991-12-27,24,1.83,76.2,22.78,59.44,69.89,right,medium,medium,55.11,52.33,46.78,63.56,41.11,59.33,53.0,59.0,53.89,60.33,72.56,75.67,65.67,58.78,63.22,68.33,66.11,64.22,62.78,56.11,54.33,49.33,52.67,53.11,53.89,41.89,46.33,36.11,10.33,13.89,15.44,9.22,15.44
Abdul Aziz Tetteh,1989-02-10,27,1.83,86.18,25.77,64.23,66.46,right,medium,medium,45.23,36.0,48.0,62.62,50.0,60.54,73.0,31.0,60.77,61.23,57.23,63.0,57.77,65.54,45.38,63.0,73.0,71.08,84.31,66.0,65.15,63.62,55.46,62.69,44.0,65.62,63.46,59.0,11.0,11.0,8.0,15.0,15.0
Abdul Majeed Waris,1991-09-19,24,1.73,71.21,23.87,68.15,76.3,right,medium,low,48.95,67.45,57.6,62.05,61.3,65.85,47.8,50.0,50.85,66.45,90.4,89.75,82.2,67.55,81.2,70.4,86.15,69.85,55.5,59.9,54.2,32.3,67.8,63.95,57.7,28.8,29.15,26.2,02.05,4.25,6.95,4.25,4.25
Abdul Osman,1987-02-27,29,1.83,69.85,20.89,59.27,63.91,right,medium,high,44.91,36.82,54.64,62.36,28.91,54.18,41.91,31.91,54.27,58.14,64.5,66.73,58.59,59.86,70.73,41.82,66.45,75.55,72.73,33.45,61.23,60.64,46.0,50.64,47.86,60.86,62.64,59.32,6.95,10.5,14.5,12.95,16.23
Abdul Rahman Baba,1994-07-02,21,1.78,69.85,22.1,69.96,78.04,left,high,medium,72.85,45.33,62.7,68.11,36.78,73.19,52.37,22.11,58.3,72.04,78.48,82.7,69.81,67.26,70.44,52.26,60.93,74.37,70.52,41.37,69.41,62.37,54.44,47.7,40.96,67.44,73.22,71.04,11.11,10.11,5.11,10.11,9.11
Abdul-Yakinu Iddi,1986-05-25,30,1.73,66.22,22.2,63.47,65.93,left,medium,medium,53.73,48.2,46.47,64.27,53.33,72.93,51.0,55.0,61.73,70.73,71.33,67.73,77.33,64.33,75.33,60.0,71.0,67.87,47.87,58.07,44.53,47.33,52.53,60.33,49.07,30.0,42.47,42.6,4.47,11.93,22.4,13.4,15.6
Abdulkader Keita,1981-08-06,34,1.83,78.02,23.33,80.0,82.5,right,medium,medium,74.88,72.5,77.12,73.12,68.5,83.25,69.0,59.5,64.75,78.88,89.25,85.5,84.12,80.25,65.0,86.75,77.12,75.88,86.88,76.0,71.25,58.5,80.25,69.5,84.0,18.0,28.0,23.0,6.0,6.75,24.12,7.0,14.12
Abdulla Fatadi,1985-11-02,30,1.75,78.02,25.4,57.0,58.0,right,medium,low,47.0,60.0,37.0,62.0,42.0,67.0,53.0,39.0,58.0,64.0,78.0,76.0,67.0,51.0,71.0,57.0,56.0,63.67,75.33,40.0,47.0,33.0,40.0,50.0,48.0,37.0,33.0,42.0,12.0,14.0,7.0,13.0,14.0
Abdullah Al Hafith,1992-12-25,23,1.88,74.84,21.18,62.27,70.2,right,medium,high,35.33,31.73,60.93,38.33,37.73,37.33,30.33,32.53,38.33,46.73,62.4,63.8,56.93,56.47,52.4,41.33,67.67,67.53,70.93,34.33,73.47,65.27,29.33,41.33,43.33,59.13,64.87,63.73,15.33,11.33,7.33,10.33,6.33
Abdullahi Shehu,1993-03-12,23,1.8,72.12,22.18,71.0,78.33,right,high,high,70.0,36.0,59.0,76.0,40.0,65.0,51.0,47.0,74.0,70.0,75.0,77.33,66.0,73.17,65.0,59.5,75.0,82.0,69.0,48.0,68.0,70.0,61.5,63.5,51.0,59.0,68.0,72.0,9.0,16.0,14.0,11.0,15.0
Abel Aguilar,1985-01-06,31,1.85,79.83,23.22,72.29,73.71,right,medium,medium,57.11,60.61,72.54,76.82,53.96,63.21,62.68,63.29,69.75,73.0,54.82,53.68,58.39,73.54,59.04,68.93,70.21,73.61,73.04,60.46,77.43,71.25,67.82,75.46,58.89,60.93,70.96,60.25,10.68,12.0,23.39,7.89,12.0
Abel Gomez,1982-02-20,34,1.83,74.84,22.38,68.35,69.75,right,medium,low,64.8,57.3,48.1,74.1,55.0,62.7,78.65,74.5,78.8,68.85,55.5,53.7,53.85,65.5,58.9,76.3,53.95,64.75,63.6,70.0,62.3,60.05,63.2,74.9,58.2,56.3,60.1,47.15,13.25,12.75,27.1,10.05,9.75
Abel Hernandez,1990-08-08,25,1.85,73.03,21.24,71.96,80.46,left,medium,low,47.17,72.33,66.96,65.75,74.0,70.33,67.92,53.83,40.0,73.21,85.5,87.58,82.29,73.04,65.04,69.5,72.54,66.83,65.12,60.04,59.62,27.62,71.96,57.92,73.75,21.71,28.67,21.17,11.79,8.46,11.46,8.46,10.96
Abel Issa Camara,1990-01-06,26,1.85,81.19,23.62,67.93,71.79,right,medium,medium,62.86,70.0,67.21,58.14,54.0,68.07,65.0,40.0,51.0,63.29,68.29,75.14,68.21,65.71,61.0,74.79,75.57,72.0,72.29,72.14,53.14,12.0,63.29,60.0,69.21,14.0,17.0,20.0,7.0,9.0,8.0,13.0,8.0
Abel Khaled,1992-11-09,23,1.8,67.13,20.64,61.0,72.5,right,medium,medium,58.0,54.0,42.0,56.0,54.0,75.0,63.0,66.0,54.0,61.0,73.5,70.0,66.75,42.0,58.0,66.0,55.0,48.25,39.0,48.0,26.0,28.0,52.0,52.0,61.0,22.0,30.0,31.0,14.0,11.0,14.0,12.0,12.0
Abel Tamata,1990-12-05,25,1.83,77.11,23.06,66.6,72.67,right,high,medium,64.13,49.13,63.0,66.13,41.8,65.87,39.13,39.73,57.33,64.13,70.8,71.0,69.93,64.93,60.27,47.13,59.6,70.47,72.27,50.13,66.73,64.33,35.8,48.13,52.0,67.73,68.67,67.67,8.13,5.13,6.13,9.13,7.13
Abella Perez Damia,1982-04-15,34,1.88,78.93,22.34,71.12,72.4,right,high,medium,78.92,47.72,54.04,58.72,51.36,66.64,58.16,60.36,66.12,68.4,76.12,77.24,68.2,73.96,48.52,66.48,69.64,84.76,76.24,58.92,75.44,74.32,56.64,59.2,50.44,64.24,70.4,72.68,10.96,10.24,27.28,17.12,16.76
Abiola Dauda,1988-02-03,28,1.8,74.84,23.01,65.5,68.69,right,medium,low,44.38,71.0,53.81,55.31,59.62,64.56,47.81,41.31,44.19,63.0,80.06,82.12,70.56,61.5,69.19,74.44,66.06,61.0,63.62,62.56,57.88,37.56,61.44,51.75,47.06,32.81,35.12,24.56,13.69,16.19,15.44,13.94,14.69
Abou Diaby,1986-05-11,30,1.93,76.2,20.45,76.33,79.67,right,medium,medium,69.37,66.0,75.56,74.52,73.11,80.74,61.26,52.48,71.15,81.07,76.41,77.74,74.81,74.81,63.96,81.19,70.93,78.37,84.63,68.15,79.85,70.89,76.81,77.59,72.3,69.44,73.15,72.59,10.41,8.85,25.11,10.37,12.67
Aboubakar Kamara,1995-03-07,21,1.78,76.2,24.11,60.14,69.14,right,medium,medium,32.14,64.14,66.14,58.14,51.14,62.14,44.14,42.14,41.14,60.14,64.0,65.0,59.0,58.14,69.0,58.14,66.86,62.0,57.0,54.14,32.14,23.29,57.14,49.14,71.14,21.14,22.14,20.14,5.14,13.14,11.14,6.14,10.14
Abraham Gonzalez,1985-07-16,30,1.78,79.83,25.25,68.16,69.92,right,medium,low,65.76,56.96,46.36,77.4,48.6,59.24,78.08,69.24,77.64,68.36,55.2,54.24,61.4,62.32,60.6,74.08,38.64,68.12,61.0,70.92,58.08,54.56,63.4,72.44,60.76,51.92,57.84,47.8,8.8,8.72,11.76,11.36,10.48
Abraham Guie Gneki,1986-07-25,29,1.8,69.85,21.48,69.25,73.25,right,high,medium,44.38,74.0,61.38,56.38,69.62,69.62,48.38,40.38,40.38,67.38,85.38,83.0,75.38,70.38,65.38,65.38,69.38,68.62,56.38,59.38,67.38,22.38,66.12,46.38,40.38,12.38,16.38,19.38,9.0,12.0,12.0,6.0,5.0
Abraham Kudemor,1985-02-25,31,1.83,81.19,24.28,63.44,64.22,right,medium,high,46.0,38.56,66.33,60.44,34.33,44.78,25.22,43.0,57.0,55.89,73.0,70.67,68.44,64.44,61.0,69.33,76.56,74.22,83.0,52.44,82.0,63.33,45.11,49.33,45.0,62.33,65.67,61.33,11.0,5.0,14.0,11.0,15.0
Abraham Minero,1986-02-22,30,1.75,71.21,23.18,70.0,72.85,left,high,medium,73.25,39.7,57.35,66.45,31.75,68.05,72.35,54.7,60.2,69.8,77.45,75.9,76.6,69.3,70.9,66.95,74.0,83.4,72.8,54.3,73.3,69.9,66.4,62.05,56.15,66.4,69.45,68.0,10.15,7.15,6.15,13.15,10.15
Abraham Paz Cruz,1979-03-14,37,1.78,74.84,23.67,70.29,71.21,right,high,medium,52.0,43.0,72.5,64.93,49.5,53.21,68.21,57.79,72.64,64.5,60.5,66.5,53.93,60.21,63.5,61.71,81.07,69.79,75.57,42.0,68.5,70.07,54.71,61.07,66.5,65.93,71.5,76.21,9.0,14.79,29.5,13.79,10.29
Achille Coser,1982-07-14,33,1.85,78.93,22.96,59.48,60.95,right,medium,medium,24.14,20.62,26.05,25.0,24.76,25.71,21.29,27.14,33.81,22.0,42.0,42.0,50.14,56.86,32.0,34.29,63.14,35.29,52.43,24.67,33.62,25.0,25.0,31.67,21.71,25.0,25.48,24.76,57.95,58.81,54.67,61.9,62.29
Achille Emana,1982-06-05,33,1.8,77.11,23.71,75.0,75.21,right,high,low,65.93,65.28,63.76,79.45,69.69,74.83,68.28,71.1,70.41,77.93,74.31,65.69,66.21,73.45,75.86,80.31,70.03,55.1,91.14,66.38,72.45,56.9,71.31,80.1,75.62,49.62,67.41,60.76,8.17,16.66,21.83,12.52,13.31
Achille Vaarnold,1996-01-26,20,1.75,71.21,23.18,61.67,73.0,left,medium,medium,59.0,50.0,40.0,54.0,59.0,68.33,65.0,40.0,48.0,63.0,77.0,82.0,74.0,55.0,77.0,34.0,70.0,55.0,48.0,44.0,44.0,23.0,55.0,55.0,39.0,24.0,23.0,22.0,7.0,6.0,13.0,6.0,15.0
Achraf Lazaar,1992-09-22,23,1.83,76.2,22.78,63.38,73.38,left,high,medium,59.58,38.31,54.31,63.88,41.12,64.5,53.42,39.73,60.62,64.92,76.04,74.42,67.88,64.62,73.23,63.96,66.0,75.08,57.77,55.85,67.31,56.65,59.08,53.73,47.5,57.88,61.31,62.77,9.73,10.73,5.73,12.73,12.73
Adailton,1983-04-14,33,1.9,84.82,23.37,67.88,70.47,right,medium,medium,40.06,42.94,71.76,58.12,32.47,44.41,27.47,38.06,53.12,54.12,47.12,58.71,55.29,63.65,61.0,68.76,56.18,61.12,80.88,53.35,73.06,59.29,46.29,52.47,54.47,69.29,70.12,55.47,10.18,13.59,25.76,16.18,12.29
Adalberto Penaranda,1997-05-31,18,1.83,78.02,23.33,68.5,82.29,right,medium,medium,43.86,73.21,69.43,60.29,52.14,70.36,45.0,43.0,45.57,68.79,76.0,75.71,58.14,66.29,60.0,68.29,61.0,62.57,62.71,65.29,35.0,19.29,64.86,59.0,77.0,20.0,20.0,21.0,6.0,14.0,13.0,8.0,6.0
Adam Armstrong,1997-02-10,19,1.73,68.95,23.11,65.0,82.35,right,high,medium,44.76,67.71,57.82,59.24,55.76,64.47,67.76,59.82,55.12,63.47,84.35,84.71,75.76,55.76,85.35,65.0,71.65,71.76,58.35,66.12,48.0,35.76,66.59,51.18,67.76,21.18,18.88,20.76,9.76,12.76,12.76,11.76,6.76
Adam Banas,1982-12-25,33,1.85,78.93,22.96,64.37,66.16,right,high,medium,25.0,45.0,69.58,42.63,39.05,54.0,33.0,52.84,49.58,48.89,63.84,61.74,69.84,71.11,62.74,60.47,63.63,72.89,76.68,49.42,67.05,63.84,59.95,48.63,63.95,57.26,67.79,62.79,9.0,10.0,9.0,6.0,11.0
