team_long_name,team_short_name,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
Royal Excel Mouscron,MOU,50.0,Balanced,Normal,50.0,Mixed,Organised,50.0,Normal,50.0,Normal,50.0,Normal,Organised,45.0,Medium,45.0,Press,50.0,Normal,Cover
KVC Westerlo,WES,45.75,Balanced,Little,53.0,Mixed,Organised,55.5,Normal,52.0,Normal,43.0,Little,Organised,53.5,Medium,54.75,Press,60.75,Normal,Cover
Sporting Charleroi,CHA,53.4,Balanced,Little,49.0,Mixed,Organised,44.6,Normal,45.2,Normal,51.4,Normal,Organised,48.4,Medium,54.4,Press,53.0,Normal,Cover
Sint-Truidense VV,STT,51.67,Balanced,Little,52.67,Mixed,Organised,50.0,Normal,52.33,Normal,50.0,Normal,Organised,42.67,Medium,45.33,Press,45.67,Normal,Cover
Lierse SK,LIE,64.8,Fast,Little,59.4,Mixed,Organised,55.8,Normal,50.6,Normal,58.8,Normal,Organised,41.0,Medium,48.8,Press,61.0,Normal,Cover
KAS Eupen,EUP,50.0,Balanced,Little,55.0,Mixed,Organised,50.0,Normal,55.0,Normal,55.0,Normal,Organised,50.0,Medium,50.0,Press,55.0,Normal,Cover
Oud-Heverlee Leuven,O-H,52.0,Balanced,Little,50.0,Mixed,Organised,50.0,Normal,53.0,Normal,54.0,Normal,Organised,43.0,Medium,44.0,Press,50.0,Normal,Cover
Waasland-Beveren,WAA,46.0,Balanced,Normal,47.0,Mixed,Organised,41.33,Normal,34.0,Little,48.67,Normal,Organised,27.33,Deep,39.33,Press,35.0,Normal,Cover
KV Oostende,OOS,52.0,Balanced,Normal,54.0,Mixed,Organised,45.0,Normal,42.0,Normal,53.0,Normal,Organised,42.0,Medium,47.0,Press,44.0,Normal,Cover
Royal Excel Mouscron,MOP,50.0,Balanced,Normal,50.0,Mixed,Organised,50.0,Normal,50.0,Normal,50.0,Normal,Organised,45.0,Medium,45.0,Press,50.0,Normal,Cover
Manchester United,MUN,51.83,Balanced,Little,45.83,Mixed,Organised,50.0,Normal,63.17,Lots,53.83,Normal,Organised,45.0,Medium,48.0,Press,54.83,Normal,Cover
Newcastle United,NEW,58.17,Balanced,Little,55.33,Mixed,Organised,53.5,Normal,57.33,Normal,49.83,Normal,Organised,46.67,Medium,48.33,Press,48.33,Normal,Cover
Arsenal,ARS,52.33,Balanced,Little,31.17,Short,Organised,34.67,Normal,46.33,Normal,46.5,Normal,Free Form,50.5,Medium,46.5,Press,50.5,Normal,Cover
West Bromwich Albion,WBA,57.5,Balanced,Little,51.5,Mixed,Organised,53.0,Normal,56.0,Normal,54.67,Normal,Organised,43.0,Medium,45.67,Press,54.83,Normal,Cover
Sunderland,SUN,57.0,Balanced,Little,60.83,Mixed,Organised,56.67,Normal,55.33,Normal,59.0,Normal,Organised,43.67,Medium,52.17,Press,51.83,Normal,Cover
Liverpool,LIV,57.67,Balanced,Little,44.33,Mixed,Organised,41.33,Normal,47.83,Normal,57.33,Normal,Organised,51.0,Medium,52.5,Press,56.0,Normal,Cover
West Ham United,WHU,62.83,Balanced,Little,55.33,Mixed,Organised,50.33,Normal,65.5,Lots,40.5,Little,Organised,32.5,Deep,42.83,Press,40.17,Normal,Cover
Wigan Athletic,WIG,47.17,Balanced,Little,50.67,Mixed,Organised,52.67,Normal,55.5,Normal,45.5,Normal,Organised,50.0,Medium,54.0,Press,46.0,Normal,Cover
Aston Villa,AVL,65.67,Balanced,Little,58.67,Mixed,Organised,54.83,Normal,56.0,Normal,47.33,Normal,Organised,36.83,Medium,48.67,Press,51.17,Normal,Cover
Manchester City,MCI,56.5,Balanced,Little,44.5,Mixed,Organised,45.67,Normal,50.33,Normal,52.83,Normal,Free Form,48.67,Medium,52.5,Press,51.83,Normal,Cover
Everton,EVE,56.33,Balanced,Little,52.5,Mixed,Organised,48.17,Normal,58.0,Normal,49.83,Normal,Organised,48.33,Medium,57.5,Press,56.33,Normal,Cover
Blackburn Rovers,BLB,52.5,Balanced,Little,63.83,Mixed,Organised,57.0,Normal,56.0,Normal,42.0,Normal,Organised,45.67,Medium,55.0,Press,46.67,Normal,Cover
Middlesbrough,MID,62.67,Balanced,Little,55.83,Mixed,Organised,51.0,Normal,59.5,Normal,56.0,Normal,Organised,39.33,Medium,47.0,Press,42.83,Normal,Cover
Tottenham Hotspur,TOT,50.67,Balanced,Little,46.0,Mixed,Organised,49.83,Normal,59.33,Normal,62.33,Normal,Organised,51.17,Medium,50.0,Press,55.0,Normal,Cover
Bolton Wanderers,BOL,54.67,Balanced,Little,63.83,Long,Organised,59.33,Normal,55.83,Normal,49.5,Normal,Organised,40.0,Medium,52.83,Press,52.83,Normal,Cover
Stoke City,STK,60.17,Balanced,Little,67.0,Long,Organised,50.17,Normal,64.83,Lots,44.83,Normal,Organised,37.33,Medium,51.17,Press,43.83,Normal,Cover
Hull City,HUL,58.33,Balanced,Little,52.33,Mixed,Organised,53.0,Normal,60.5,Normal,50.67,Normal,Organised,44.0,Medium,44.83,Press,53.5,Normal,Cover
Fulham,FUL,52.33,Balanced,Little,53.83,Mixed,Organised,49.83,Normal,56.33,Normal,52.67,Normal,Organised,36.67,Medium,34.17,Press,47.83,Normal,Cover
Chelsea,CHE,61.67,Balanced,Little,45.0,Mixed,Organised,49.83,Normal,55.17,Normal,61.67,Lots,Organised,40.83,Medium,50.33,Press,44.83,Normal,Cover
Portsmouth,POR,59.33,Balanced,Little,58.83,Mixed,Organised,49.33,Normal,53.17,Normal,54.0,Normal,Organised,42.0,Medium,49.33,Press,44.0,Normal,Cover
Birmingham City,BIR,55.67,Balanced,Little,66.0,Long,Organised,57.5,Normal,64.33,Lots,54.5,Normal,Organised,44.67,Medium,52.83,Press,55.17,Normal,Cover
Wolverhampton Wanderers,WOL,58.0,Balanced,Little,61.0,Mixed,Organised,54.0,Normal,63.67,Lots,55.17,Normal,Organised,49.83,Medium,53.17,Press,54.0,Normal,Cover
Burnley,BUR,51.67,Balanced,Little,59.5,Mixed,Organised,62.5,Normal,61.83,Normal,54.33,Normal,Organised,51.0,Medium,57.5,Press,61.33,Normal,Cover
Blackpool,BLA,59.83,Balanced,Little,56.67,Mixed,Organised,64.0,Normal,51.17,Normal,61.33,Normal,Organised,48.5,Medium,50.0,Press,55.17,Normal,Cover
Swansea City,SWA,51.0,Balanced,Little,40.5,Mixed,Organised,48.0,Normal,48.17,Normal,54.33,Normal,Free Form,49.33,Medium,56.33,Press,57.83,Normal,Cover
Queens Park Rangers,QPR,53.0,Balanced,Little,57.5,Mixed,Organised,54.17,Normal,52.0,Normal,56.33,Normal,Organised,50.83,Medium,49.83,Press,51.0,Normal,Cover
Norwich City,NOR,56.17,Balanced,Little,62.0,Mixed,Organised,52.83,Normal,66.33,Lots,53.33,Normal,Organised,42.0,Medium,49.83,Press,52.5,Normal,Cover
Southampton,SOU,52.5,Balanced,Little,44.67,Mixed,Organised,51.33,Normal,56.83,Normal,51.83,Normal,Organised,55.0,Medium,59.5,Press,49.0,Normal,Cover
Reading,REA,50.83,Balanced,Little,58.67,Mixed,Organised,60.17,Normal,60.5,Normal,49.5,Normal,Organised,52.67,Medium,47.5,Press,56.33,Normal,Cover
Crystal Palace,CRY,56.67,Balanced,Little,58.67,Long,Organised,68.5,Risky,63.5,Normal,52.17,Normal,Organised,44.17,Medium,38.5,Press,48.0,Normal,Cover
Cardiff City,CAR,62.0,Balanced,Little,62.17,Long,Organised,58.17,Normal,57.33,Normal,53.5,Normal,Organised,46.0,Medium,47.5,Press,52.17,Normal,Cover
Leicester City,LEI,53.67,Balanced,Little,54.33,Mixed,Organised,49.33,Normal,60.0,Normal,54.0,Normal,Organised,55.5,Medium,55.83,Press,55.83,Normal,Cover
Bournemouth,BOU,50.0,Balanced,Little,52.5,Mixed,Organised,56.83,Normal,49.83,Normal,49.83,Normal,Organised,48.17,Medium,52.67,Press,61.0,Normal,Cover
Watford,WAT,64.83,Balanced,Little,57.0,Mixed,Organised,55.83,Normal,53.5,Normal,54.33,Normal,Free Form,46.0,Medium,53.83,Press,51.83,Normal,Cover
AJ Auxerre,AUX,53.5,Balanced,Little,55.17,Mixed,Organised,45.67,Normal,63.67,Normal,47.5,Normal,Organised,33.5,Medium,46.67,Press,41.33,Normal,Cover
FC Nantes,NAN,53.83,Balanced,Little,48.5,Mixed,Organised,50.5,Normal,50.5,Normal,43.83,Normal,Organised,42.5,Medium,47.67,Press,48.33,Normal,Cover
Girondins de Bordeaux,BOR,51.17,Balanced,Little,38.0,Mixed,Organised,52.67,Normal,60.17,Normal,55.33,Normal,Organised,48.67,Medium,48.67,Press,55.17,Normal,Cover
SM Caen,CAE,58.33,Balanced,Little,43.17,Mixed,Organised,46.17,Normal,57.67,Normal,52.83,Normal,Organised,50.83,Medium,47.33,Press,56.5,Normal,Cover
Le Havre AC,LEH,48.17,Balanced,Little,50.5,Mixed,Organised,50.17,Normal,52.67,Normal,56.33,Normal,Organised,43.83,Medium,55.83,Press,52.83,Normal,Cover
OGC Nice,NIC,52.0,Balanced,Little,61.83,Mixed,Organised,51.0,Normal,54.83,Normal,45.0,Normal,Organised,51.67,Medium,50.5,Press,59.67,Normal,Cover
Le Mans FC,LEM,62.75,Balanced,Little,47.25,Mixed,Organised,57.0,Normal,65.25,Lots,57.5,Normal,Organised,56.0,Medium,50.75,Press,51.75,Normal,Cover
FC Lorient,LOR,52.83,Balanced,Little,46.83,Mixed,Organised,50.33,Normal,52.0,Normal,54.67,Normal,Organised,50.83,Medium,48.67,Press,55.67,Normal,Cover
Olympique Lyonnais,LYO,53.5,Balanced,Little,49.67,Mixed,Organised,52.67,Normal,51.83,Normal,69.67,Lots,Organised,49.83,Medium,48.83,Press,53.83,Normal,Cover
Toulouse FC,TOU,49.33,Balanced,Little,55.33,Mixed,Organised,50.5,Normal,42.67,Normal,44.17,Normal,Organised,34.83,Medium,47.83,Press,46.0,Normal,Cover
AS Monaco,MON,51.33,Balanced,Little,48.67,Mixed,Organised,49.17,Normal,42.83,Normal,38.17,Normal,Organised,44.33,Medium,47.33,Press,54.0,Normal,Cover
Paris Saint-Germain,PSG,46.83,Balanced,Little,45.17,Mixed,Organised,53.83,Normal,54.33,Normal,54.67,Normal,Organised,54.5,Medium,53.83,Press,58.5,Normal,Cover
AS Nancy-Lorraine,NAN,49.33,Balanced,Little,45.17,Mixed,Organised,50.5,Normal,57.83,Normal,55.5,Lots,Organised,46.17,Medium,51.5,Press,53.33,Normal,Cover
LOSC Lille,LIL,48.83,Balanced,Little,45.83,Mixed,Organised,60.33,Normal,55.5,Normal,52.67,Normal,Organised,55.5,Medium,51.17,Press,47.0,Normal,Cover
Stade Rennais FC,REN,61.83,Balanced,Little,40.67,Mixed,Organised,55.17,Normal,55.5,Normal,63.5,Normal,Organised,51.5,Medium,48.5,Press,56.5,Normal,Cover
Olympique de Marseille,MAR,53.0,Balanced,Little,45.17,Mixed,Organised,55.17,Normal,66.0,Lots,60.17,Lots,Organised,50.67,Medium,52.83,Press,59.17,Normal,Cover
FC Sochaux-Montbéliard,SOC,61.33,Balanced,Little,46.0,Mixed,Organised,53.67,Normal,61.5,Normal,46.83,Normal,Organised,54.33,Medium,42.83,Press,54.33,Normal,Cover
Grenoble Foot 38,GRE,60.0,Balanced,Little,60.0,Long,Organised,57.5,Normal,55.0,Normal,60.0,Lots,Organised,57.5,High,50.0,Press,60.0,Normal,Cover
Valenciennes FC,VAL,53.5,Balanced,Little,54.0,Mixed,Organised,50.67,Normal,65.83,Lots,57.33,Normal,Organised,42.5,Medium,52.67,Press,48.17,Normal,Cover
AS Saint-Étienne,ETI,57.33,Balanced,Little,51.33,Mixed,Organised,47.0,Normal,57.5,Normal,55.5,Normal,Organised,36.33,Medium,43.0,Press,49.0,Normal,Cover
RC Lens,LEN,58.5,Balanced,Little,46.17,Mixed,Organised,51.0,Normal,54.5,Normal,47.67,Normal,Organised,49.17,Medium,48.5,Press,52.67,Normal,Cover
Montpellier Hérault SC,MON,49.17,Balanced,Little,48.5,Mixed,Organised,47.0,Normal,46.83,Normal,53.5,Normal,Organised,46.5,Medium,53.83,Press,50.83,Normal,Cover
US Boulogne Cote D'Opale,BOU,48.0,Balanced,Little,34.0,Mixed,Organised,39.0,Normal,59.0,Normal,58.33,Normal,Organised,50.0,Medium,53.0,Press,67.0,Normal,Cover
AC Arles-Avignon,ARL,43.17,Balanced,Little,53.17,Mixed,Organised,46.0,Normal,38.33,Normal,39.5,Normal,Organised,38.33,Medium,46.0,Press,46.33,Normal,Cover
Stade Brestois 29,BRE,59.33,Balanced,Little,49.83,Mixed,Organised,46.0,Normal,52.83,Normal,62.33,Normal,Organised,50.17,Medium,41.83,Press,56.5,Normal,Cover
AC Ajaccio,AJA,60.17,Balanced,Little,48.83,Mixed,Organised,50.33,Normal,40.67,Normal,52.17,Normal,Organised,37.83,Medium,50.5,Press,48.67,Normal,Cover
Évian Thonon Gaillard FC,ETG,52.0,Balanced,Little,50.6,Mixed,Organised,51.6,Normal,58.2,Normal,58.4,Normal,Organised,46.6,Medium,53.2,Press,53.0,Normal,Cover
Dijon FCO,DIJ,54.0,Balanced,Little,47.67,Mixed,Organised,47.67,Normal,52.17,Normal,52.17,Normal,Organised,40.83,Medium,48.17,Press,52.0,Normal,Cover
Stade de Reims,REI,50.6,Balanced,Little,48.6,Mixed,Organised,51.4,Normal,51.6,Normal,51.6,Normal,Organised,35.4,Deep,44.2,Press,50.0,Normal,Cover
SC Bastia,BAS,53.6,Balanced,Little,48.0,Mixed,Organised,52.4,Normal,47.8,Normal,50.2,Normal,Organised,48.2,Medium,52.4,Press,53.2,Normal,Cover
ES Troyes AC,TRO,46.2,Balanced,Little,50.8,Mixed,Organised,51.6,Normal,49.2,Normal,45.0,Normal,Organised,43.4,Medium,42.6,Press,51.6,Normal,Cover
En Avant de Guingamp,GUI,53.0,Balanced,Little,46.4,Mixed,Organised,49.2,Normal,51.6,Normal,52.2,Normal,Organised,40.2,Medium,49.0,Press,45.2,Normal,Cover
FC Metz,MET,55.0,Balanced,Little,48.4,Mixed,Organised,45.8,Normal,57.4,Normal,54.8,Normal,Organised,39.2,Medium,46.4,Press,47.4,Normal,Cover
Angers SCO,ANG,51.0,Balanced,Little,47.5,Mixed,Organised,44.83,Normal,53.83,Normal,52.83,Normal,Organised,41.83,Medium,46.0,Press,47.33,Normal,Cover
GFC Ajaccio,GAJ,54.5,Balanced,Little,52.0,Mixed,Organised,55.0,Normal,59.5,Normal,56.5,Normal,Organised,44.5,Medium,46.0,Press,53.0,Normal,Cover
FC Bayern Munich,BMU,48.67,Balanced,Little,35.17,Mixed,Free Form,38.5,Normal,40.67,Little,49.67,Normal,Free Form,57.17,Medium,48.83,Press,55.17,Normal,Cover
Hamburger SV,HAM,48.17,Balanced,Little,46.17,Mixed,Organised,57.83,Normal,60.5,Normal,53.33,Normal,Organised,53.17,Medium,42.5,Press,55.0,Normal,Cover
Bayer 04 Leverkusen,LEV,66.83,Fast,Little,48.0,Mixed,Organised,59.0,Normal,55.83,Normal,53.0,Normal,Organised,57.67,Medium,49.5,Press,53.17,Normal,Cover
Borussia Dortmund,DOR,72.5,Fast,Little,46.5,Mixed,Organised,65.0,Risky,44.5,Normal,66.33,Lots,Free Form,59.33,Medium,69.17,Double,46.0,Normal,Cover
FC Schalke 04,S04,55.83,Balanced,Little,47.0,Mixed,Organised,56.17,Normal,60.5,Normal,53.0,Normal,Organised,50.17,Medium,54.0,Press,49.83,Normal,Cover
Hannover 96,HAN,58.17,Balanced,Little,53.5,Mixed,Organised,54.17,Normal,45.5,Normal,50.5,Normal,Organised,43.17,Medium,49.67,Press,55.67,Normal,Cover
VfL Wolfsburg,WOL,61.33,Balanced,Little,51.33,Mixed,Organised,67.0,Risky,58.33,Normal,57.17,Normal,Organised,55.0,Medium,47.17,Press,53.0,Normal,Cover
1. FC Köln,FCK,57.33,Balanced,Little,61.17,Mixed,Organised,55.17,Normal,41.67,Normal,59.0,Normal,Organised,45.0,Medium,51.17,Press,60.83,Normal,Cover
Eintracht Frankfurt,EFR,50.83,Balanced,Little,37.67,Mixed,Organised,49.17,Normal,55.0,Normal,48.17,Normal,Organised,49.33,Medium,43.0,Press,53.17,Normal,Cover
Hertha BSC Berlin,HBE,53.67,Balanced,Little,50.5,Mixed,Organised,53.17,Normal,54.83,Normal,55.67,Normal,Organised,49.33,Medium,44.33,Press,54.67,Normal,Cover
DSC Arminia Bielefeld,BIE,49.33,Balanced,Little,59.33,Mixed,Organised,48.67,Normal,51.33,Little,48.0,Normal,Organised,39.67,Medium,47.33,Press,49.33,Normal,Cover
SV Werder Bremen,WBR,58.67,Balanced,Little,43.83,Mixed,Organised,63.17,Risky,53.17,Normal,61.5,Normal,Organised,57.67,Medium,51.67,Press,64.17,Normal,Cover
FC Energie Cottbus,COT,49.6,Balanced,Little,49.2,Mixed,Organised,49.4,Normal,58.8,Lots,51.8,Normal,Organised,57.4,Medium,53.4,Press,52.8,Normal,Cover
TSG 1899 Hoffenheim,HOF,62.5,Fast,Little,47.83,Mixed,Organised,59.0,Normal,55.0,Normal,59.17,Normal,Organised,57.67,Medium,58.17,Press,49.0,Normal,Cover
Borussia Mönchengladbach,GLA,53.83,Balanced,Little,43.17,Mixed,Organised,51.0,Normal,44.83,Normal,51.5,Normal,Free Form,42.33,Medium,48.67,Press,45.5,Normal,Cover
VfB Stuttgart,STU,59.33,Balanced,Little,42.5,Mixed,Organised,58.67,Normal,64.33,Normal,55.83,Normal,Organised,48.5,Medium,50.0,Press,42.0,Normal,Cover
Karlsruher SC,KAR,57.4,Balanced,Little,47.4,Mixed,Organised,60.0,Normal,51.0,Normal,54.6,Normal,Organised,43.4,Medium,44.8,Press,45.4,Normal,Cover
VfL Bochum,BOC,48.67,Balanced,Little,53.67,Mixed,Organised,54.83,Normal,49.33,Normal,46.33,Normal,Organised,42.33,Medium,54.33,Press,50.33,Normal,Cover
SC Freiburg,FRE,51.5,Balanced,Little,43.67,Mixed,Organised,50.67,Normal,46.17,Normal,44.67,Normal,Free Form,48.5,Medium,54.33,Press,40.67,Normal,Cover
1. FC Nürnberg,NUR,45.33,Balanced,Little,47.5,Mixed,Organised,50.5,Normal,53.0,Normal,59.17,Normal,Organised,43.33,Medium,50.5,Press,44.0,Normal,Cover
1. FSV Mainz 05,MAI,61.83,Balanced,Little,51.5,Mixed,Organised,53.0,Normal,47.67,Normal,54.5,Normal,Organised,52.5,Medium,62.5,Press,49.67,Normal,Cover
1. FC Kaiserslautern,KAI,51.17,Balanced,Little,51.67,Mixed,Organised,47.17,Normal,62.0,Lots,59.67,Normal,Organised,46.83,Medium,52.83,Press,55.17,Normal,Cover
FC St. Pauli,STP,55.17,Balanced,Little,55.67,Mixed,Organised,60.83,Normal,51.83,Normal,50.67,Normal,Organised,48.67,Medium,51.0,Press,56.17,Normal,Cover
FC Augsburg,AUG,54.83,Balanced,Little,53.17,Mixed,Organised,45.83,Normal,64.67,Normal,60.17,Normal,Organised,44.17,Medium,51.67,Press,51.0,Normal,Cover
Fortuna Düsseldorf,FDU,57.17,Balanced,Little,48.83,Mixed,Organised,59.0,Normal,57.17,Lots,50.83,Normal,Organised,45.67,Medium,56.5,Press,47.83,Normal,Cover
SpVgg Greuther Fürth,GRF,59.83,Balanced,Little,45.67,Mixed,Organised,50.67,Normal,51.0,Normal,50.83,Normal,Organised,46.67,Medium,52.83,Press,56.67,Normal,Cover
Eintracht Braunschweig,BRA,64.75,Balanced,Little,56.0,Mixed,Organised,58.75,Normal,58.5,Normal,58.75,Normal,Free Form,49.5,Medium,44.0,Press,48.25,Normal,Cover
SC Paderborn 07,PAD,66.0,Fast,Little,55.33,Mixed,Organised,51.83,Normal,43.83,Normal,60.83,Normal,Organised,32.83,Deep,47.33,Press,47.17,Normal,Cover
FC Ingolstadt 04,ING,53.2,Balanced,Little,47.8,Mixed,Organised,49.6,Normal,48.6,Normal,50.2,Normal,Organised,36.4,Medium,43.6,Press,49.8,Normal,Cover
SV Darmstadt 98,DAR,59.0,Balanced,Normal,77.0,Long,Organised,52.0,Normal,77.0,Lots,45.0,Normal,Organised,32.0,Deep,56.0,Press,41.0,Normal,Cover
Atalanta,ATA,55.33,Balanced,Little,41.67,Mixed,Organised,42.0,Normal,48.17,Normal,52.17,Normal,Organised,42.67,Medium,51.5,Press,52.83,Normal,Cover
Siena,SIE,44.8,Balanced,Little,45.2,Mixed,Organised,49.6,Normal,53.6,Normal,52.8,Normal,Organised,41.2,Medium,50.6,Press,52.4,Normal,Cover
Cagliari,CAG,56.33,Balanced,Little,42.33,Mixed,Organised,52.17,Normal,51.67,Normal,57.17,Normal,Free Form,46.33,Medium,53.67,Press,53.33,Normal,Cover
Lazio,LAZ,55.5,Balanced,Little,49.67,Mixed,Organised,61.5,Normal,53.33,Normal,63.5,Lots,Organised,52.0,Medium,52.83,Press,54.67,Normal,Cover
Catania,CAT,58.67,Balanced,Little,41.33,Mixed,Organised,50.5,Normal,50.17,Normal,49.5,Normal,Organised,31.83,Deep,58.0,Press,48.5,Normal,Cover
Genoa,GEN,62.83,Balanced,Little,51.5,Mixed,Organised,61.33,Normal,50.83,Normal,47.67,Normal,Organised,39.17,Medium,52.67,Press,45.67,Normal,Cover
Chievo Verona,CHI,58.0,Balanced,Little,57.67,Long,Organised,48.33,Normal,53.83,Normal,55.83,Normal,Organised,34.83,Deep,60.33,Press,53.17,Normal,Cover
Reggio Calabria,REG,52.8,Balanced,Little,44.4,Mixed,Organised,44.8,Normal,54.6,Little,55.4,Normal,Organised,38.2,Medium,48.2,Press,50.8,Normal,Cover
Fiorentina,FIO,47.0,Balanced,Little,41.17,Mixed,Organised,60.83,Normal,53.83,Normal,54.83,Normal,Organised,49.67,Medium,47.5,Press,56.5,Normal,Cover
Juventus,JUV,45.83,Balanced,Little,32.83,Mixed,Organised,56.67,Normal,60.5,Normal,65.67,Lots,Organised,44.0,Medium,57.33,Press,41.17,Normal,Cover
Milan,ACM,49.83,Balanced,Little,48.0,Mixed,Organised,58.83,Normal,41.67,Normal,63.0,Lots,Free Form,48.17,Medium,48.83,Press,51.83,Normal,Cover
Bologna,BOL,59.83,Balanced,Little,47.33,Mixed,Organised,35.5,Normal,49.83,Normal,55.33,Normal,Organised,36.83,Deep,46.0,Press,49.0,Normal,Cover
Roma,ROM,63.67,Balanced,Little,40.0,Mixed,Organised,68.83,Risky,56.33,Normal,60.5,Normal,Free Form,42.83,Medium,47.17,Press,50.83,Normal,Offside Trap
Napoli,NAP,62.17,Balanced,Little,39.67,Mixed,Organised,62.0,Risky,59.0,Normal,60.5,Lots,Organised,49.5,Medium,61.33,Press,47.5,Normal,Cover
Sampdoria,SAM,42.17,Balanced,Little,40.67,Mixed,Organised,46.17,Normal,54.33,Normal,45.67,Normal,Organised,47.33,Medium,46.5,Press,55.0,Normal,Cover
Inter,INT,57.83,Balanced,Little,57.17,Mixed,Organised,59.5,Normal,56.83,Normal,64.17,Normal,Organised,40.17,Medium,56.33,Press,46.67,Normal,Cover
Torino,TOR,59.33,Balanced,Little,42.67,Mixed,Organised,44.67,Normal,59.17,Lots,52.33,Normal,Organised,40.33,Medium,41.83,Press,52.67,Normal,Cover
Lecce,LEC,45.0,Balanced,Little,43.33,Mixed,Organised,48.33,Normal,56.67,Normal,52.33,Normal,Organised,31.67,Deep,60.0,Press,60.0,Normal,Cover
Udinese,UDI,71.0,Fast,Little,53.0,Mixed,Organised,61.33,Risky,64.83,Lots,54.33,Normal,Organised,40.67,Medium,49.33,Press,55.17,Normal,Cover
Palermo,PAL,64.33,Balanced,Little,39.17,Mixed,Organised,50.33,Normal,38.67,Normal,62.5,Normal,Organised,42.5,Medium,45.33,Press,51.0,Normal,Cover
Bari,BAR,51.17,Balanced,Little,49.0,Mixed,Organised,48.83,Normal,46.83,Normal,57.33,Normal,Organised,48.0,Medium,45.5,Press,54.0,Normal,Cover
Livorno,LIV,53.17,Balanced,Little,53.17,Mixed,Organised,37.17,Normal,42.0,Little,63.17,Normal,Organised,38.0,Deep,49.67,Press,36.83,Narrow,Cover
Parma,PAR,44.83,Balanced,Little,32.33,Short,Organised,53.67,Normal,61.0,Normal,53.33,Normal,Organised,45.17,Medium,45.67,Press,51.33,Normal,Cover
Cesena,CES,58.67,Balanced,Little,41.0,Mixed,Organised,46.5,Normal,41.17,Normal,65.33,Normal,Organised,39.5,Medium,46.17,Press,53.5,Normal,Cover
