country_name,league_name,season,stage,date,home_team_long_name,home_short_long_name,away_team_long_name,away_short_long_name,home_team_goal,away_team_goal,total_goal,B365H,B365D,B365A
Belgium,Belgium Jupiler League,2008/2009,12,2008-11-16,Club Brugge KV,CLB,RSC Anderlecht,AND,1,1,2,2.3,3.25,2.9
Belgium,Belgium Jupiler League,2008/2009,12,2008-11-15,KRC Genk,GEN,KSV Roeselare,ROS,1,1,2,1.25,5.25,10.0
Belgium,Belgium Jupiler League,2008/2009,12,2008-11-15,SV Zulte-Waregem,ZUL,Beerschot AC,BAC,2,2,4,2.0,3.25,3.5
Belgium,Belgium Jupiler League,2008/2009,12,2008-11-16,Sporting Lokeren,LOK,Standard de Liège,STL,1,1,2,3.25,3.25,2.1
Belgium,Belgium Jupiler League,2008/2009,12,2008-11-15,FCV Dender EH,DEN,KV Kortrijk,KOR,1,0,1,2.3,3.25,2.8
Belgium,Belgium Jupiler League,2008/2009,12,2008-11-15,KV Mechelen,MEC,RAEC Mons,MON,0,0,0,02.05,3.25,3.4
Belgium,Belgium Jupiler League,2008/2009,12,2008-11-15,Royal Excel Mouscron,MOU,Sporting Charleroi,CHA,2,1,3,2.2,3.25,3.0
Belgium,Belgium Jupiler League,2008/2009,12,2008-11-15,Tubize,TUB,KSV Cercle Brugge,CEB,3,0,3,4.33,3.4,1.75
Belgium,Belgium Jupiler League,2008/2009,12,2008-11-14,KVC Westerlo,WES,KAA Gent,GEN,3,2,5,2.5,3.3,2.75
Belgium,Belgium Jupiler League,2008/2009,13,2008-11-22,RSC Anderlecht,AND,KVC Westerlo,WES,2,0,2,1.44,4.33,7.0
Belgium,Belgium Jupiler League,2008/2009,13,2008-11-22,Standard de Liège,STL,Royal Excel Mouscron,MOU,3,1,4,1.36,4.5,9.0
Belgium,Belgium Jupiler League,2008/2009,13,2008-11-22,RAEC Mons,MON,Club Brugge KV,CLB,1,2,3,4.33,3.4,1.85
Belgium,Belgium Jupiler League,2008/2009,13,2008-11-22,Sporting Charleroi,CHA,Tubize,TUB,3,2,5,1.44,4.33,7.0
Belgium,Belgium Jupiler League,2008/2009,13,2008-11-22,KSV Cercle Brugge,CEB,KV Mechelen,MEC,2,1,3,1.67,3.75,5.5
Belgium,Belgium Jupiler League,2008/2009,13,2008-11-23,KAA Gent,GEN,KRC Genk,GEN,2,3,5,2.1,3.3,3.2
Belgium,Belgium Jupiler League,2008/2009,13,2008-11-22,KSV Roeselare,ROS,FCV Dender EH,DEN,2,2,4,2.4,3.3,2.88
Belgium,Belgium Jupiler League,2008/2009,13,2008-12-16,KV Kortrijk,KOR,SV Zulte-Waregem,ZUL,1,0,1,2.38,3.4,2.88
Belgium,Belgium Jupiler League,2008/2009,13,2008-11-22,Beerschot AC,BAC,Sporting Lokeren,LOK,0,2,2,2.2,3.3,3.3
Belgium,Belgium Jupiler League,2008/2009,14,2008-11-30,Club Brugge KV,CLB,Beerschot AC,BAC,3,0,3,1.44,4.2,6.0
Belgium,Belgium Jupiler League,2008/2009,14,2008-11-29,KRC Genk,GEN,KSV Cercle Brugge,CEB,3,2,5,1.73,3.4,4.5
Belgium,Belgium Jupiler League,2008/2009,14,2008-11-29,SV Zulte-Waregem,ZUL,Sporting Charleroi,CHA,4,2,6,2.2,3.25,3.0
Belgium,Belgium Jupiler League,2008/2009,14,2008-11-29,KAA Gent,GEN,KSV Roeselare,ROS,4,0,4,1.29,4.75,9.5
Belgium,Belgium Jupiler League,2008/2009,14,2008-11-28,FCV Dender EH,DEN,RSC Anderlecht,AND,0,2,2,5.0,3.75,1.67
Belgium,Belgium Jupiler League,2008/2009,14,2008-11-30,KV Mechelen,MEC,Standard de Liège,STL,0,0,0,4.75,3.5,1.67
Belgium,Belgium Jupiler League,2008/2009,14,2008-11-29,Royal Excel Mouscron,MOU,Sporting Lokeren,LOK,2,0,2,2.2,3.25,3.0
Belgium,Belgium Jupiler League,2008/2009,14,2008-11-29,Tubize,TUB,KV Kortrijk,KOR,3,3,6,2.3,3.2,2.88
Belgium,Belgium Jupiler League,2008/2009,14,2008-11-29,KVC Westerlo,WES,RAEC Mons,MON,2,1,3,1.57,3.6,5.25
Belgium,Belgium Jupiler League,2008/2009,15,2008-12-06,RSC Anderlecht,AND,Tubize,TUB,5,1,6,1.2,6.0,11.0
Belgium,Belgium Jupiler League,2008/2009,15,2008-12-06,Standard de Liège,STL,SV Zulte-Waregem,ZUL,1,2,3,1.36,4.5,7.5
Belgium,Belgium Jupiler League,2008/2009,15,2008-12-06,RAEC Mons,MON,FCV Dender EH,DEN,5,2,7,2.1,3.25,3.25
Belgium,Belgium Jupiler League,2008/2009,15,2008-12-06,Sporting Charleroi,CHA,KV Mechelen,MEC,1,2,3,1.67,3.4,5.0
Belgium,Belgium Jupiler League,2008/2009,15,2008-12-05,KSV Cercle Brugge,CEB,KAA Gent,GEN,3,1,4,2.4,3.3,2.88
Belgium,Belgium Jupiler League,2008/2009,15,2008-12-07,Sporting Lokeren,LOK,Club Brugge KV,CLB,2,0,2,2.88,3.2,2.3
Belgium,Belgium Jupiler League,2008/2009,15,2008-12-06,KSV Roeselare,ROS,KVC Westerlo,WES,1,0,1,3.25,3.3,2.1
Belgium,Belgium Jupiler League,2008/2009,15,2008-12-07,KV Kortrijk,KOR,KRC Genk,GEN,3,1,4,3.25,3.25,2.1
Belgium,Belgium Jupiler League,2008/2009,15,2008-12-06,Beerschot AC,BAC,Royal Excel Mouscron,MOU,3,0,3,2.2,3.25,3.0
Belgium,Belgium Jupiler League,2008/2009,16,2008-12-14,Club Brugge KV,CLB,Standard de Liège,STL,1,4,5,2.62,3.2,2.62
Belgium,Belgium Jupiler League,2008/2009,16,2008-12-13,KRC Genk,GEN,Sporting Charleroi,CHA,1,0,1,1.53,4.0,6.0
Belgium,Belgium Jupiler League,2008/2009,16,2008-12-13,SV Zulte-Waregem,ZUL,Royal Excel Mouscron,MOU,2,1,3,02.05,3.3,3.6
Belgium,Belgium Jupiler League,2008/2009,16,2008-12-13,KAA Gent,GEN,KV Kortrijk,KOR,1,1,2,1.5,4.0,6.5
Belgium,Belgium Jupiler League,2008/2009,16,2008-12-13,FCV Dender EH,DEN,Sporting Lokeren,LOK,1,1,2,3.25,3.25,2.2
Belgium,Belgium Jupiler League,2008/2009,16,2008-12-12,KV Mechelen,MEC,Beerschot AC,BAC,2,1,3,2.5,3.3,2.75
Belgium,Belgium Jupiler League,2008/2009,16,2008-12-14,KSV Roeselare,ROS,RSC Anderlecht,AND,0,3,3,8.0,4.75,1.36
Belgium,Belgium Jupiler League,2008/2009,16,2008-12-13,Tubize,TUB,RAEC Mons,MON,2,1,3,2.8,3.25,2.5
Belgium,Belgium Jupiler League,2008/2009,16,2008-12-13,KVC Westerlo,WES,KSV Cercle Brugge,CEB,1,2,3,02.05,3.3,3.6
Belgium,Belgium Jupiler League,2008/2009,17,2008-12-19,RSC Anderlecht,AND,KRC Genk,GEN,2,0,2,1.57,3.8,6.0
Belgium,Belgium Jupiler League,2008/2009,17,2008-12-21,Standard de Liège,STL,KAA Gent,GEN,2,1,3,1.5,4.2,6.5
Belgium,Belgium Jupiler League,2008/2009,17,2008-12-20,RAEC Mons,MON,SV Zulte-Waregem,ZUL,2,2,4,2.25,3.25,3.25
Belgium,Belgium Jupiler League,2008/2009,17,2008-12-20,Sporting Charleroi,CHA,FCV Dender EH,DEN,2,0,2,1.61,3.75,5.5
Belgium,Belgium Jupiler League,2008/2009,17,2008-12-20,KSV Cercle Brugge,CEB,KSV Roeselare,ROS,4,3,7,1.4,4.33,8.5
Belgium,Belgium Jupiler League,2008/2009,17,2008-12-20,Sporting Lokeren,LOK,KV Mechelen,MEC,2,2,4,1.83,3.4,4.5
Belgium,Belgium Jupiler League,2008/2009,17,2008-12-20,Royal Excel Mouscron,MOU,Club Brugge KV,CLB,5,1,6,3.0,3.25,2.4
Belgium,Belgium Jupiler League,2008/2009,17,2008-12-21,KV Kortrijk,KOR,KVC Westerlo,WES,0,0,0,2.3,3.25,3.2
Belgium,Belgium Jupiler League,2008/2009,17,2008-12-20,Beerschot AC,BAC,Tubize,TUB,2,0,2,1.57,3.8,6.0
Belgium,Belgium Jupiler League,2008/2009,18,2009-01-18,Beerschot AC,BAC,KRC Genk,GEN,4,1,5,2.6,3.3,2.62
Belgium,Belgium Jupiler League,2008/2009,18,2009-01-17,Sporting Lokeren,LOK,SV Zulte-Waregem,ZUL,2,1,3,2.1,3.2,3.3
Belgium,Belgium Jupiler League,2008/2009,18,2009-01-16,RSC Anderlecht,AND,KSV Cercle Brugge,CEB,1,2,3,1.36,4.5,9.0
Belgium,Belgium Jupiler League,2008/2009,18,2009-01-17,RAEC Mons,MON,KAA Gent,GEN,1,2,3,2.8,3.3,2.3
Belgium,Belgium Jupiler League,2008/2009,18,2009-01-17,Standard de Liège,STL,FCV Dender EH,DEN,3,2,5,1.2,6.5,13.0
Belgium,Belgium Jupiler League,2008/2009,18,2009-01-17,Club Brugge KV,CLB,KV Mechelen,MEC,3,0,3,1.45,4.0,6.0
Belgium,Belgium Jupiler League,2008/2009,18,2009-01-17,KV Kortrijk,KOR,KSV Roeselare,ROS,2,1,3,1.67,3.5,4.75
Belgium,Belgium Jupiler League,2008/2009,18,2009-01-17,Royal Excel Mouscron,MOU,Tubize,TUB,1,1,2,1.45,3.8,6.5
Belgium,Belgium Jupiler League,2008/2009,18,2009-01-18,Sporting Charleroi,CHA,KVC Westerlo,WES,1,2,3,2.1,3.3,3.5
Belgium,Belgium Jupiler League,2008/2009,19,2009-01-25,SV Zulte-Waregem,ZUL,Club Brugge KV,CLB,3,1,4,2.7,3.25,2.4
Belgium,Belgium Jupiler League,2008/2009,19,2009-02-18,KAA Gent,GEN,RSC Anderlecht,AND,1,2,3,3.0,3.3,2.2
Belgium,Belgium Jupiler League,2008/2009,19,2009-01-25,KVC Westerlo,WES,Standard de Liège,STL,0,1,1,3.4,3.25,2.0
Belgium,Belgium Jupiler League,2008/2009,19,2009-01-24,KRC Genk,GEN,RAEC Mons,MON,2,0,2,1.44,4.0,6.5
Belgium,Belgium Jupiler League,2008/2009,19,2009-01-24,KSV Roeselare,ROS,Sporting Charleroi,CHA,3,1,4,2.7,3.2,2.4
Belgium,Belgium Jupiler League,2008/2009,19,2009-01-24,Tubize,TUB,Sporting Lokeren,LOK,2,1,3,2.9,3.2,2.25
Belgium,Belgium Jupiler League,2008/2009,19,2009-01-24,KV Mechelen,MEC,Royal Excel Mouscron,MOU,2,2,4,2.3,3.25,2.8
Belgium,Belgium Jupiler League,2008/2009,19,2009-01-24,KSV Cercle Brugge,CEB,KV Kortrijk,KOR,0,1,1,1.57,3.6,5.25
Belgium,Belgium Jupiler League,2008/2009,19,2009-01-24,FCV Dender EH,DEN,Beerschot AC,BAC,0,1,1,3.2,3.25,2.1
Belgium,Belgium Jupiler League,2008/2009,2,2008-10-29,Club Brugge KV,CLB,SV Zulte-Waregem,ZUL,2,0,2,1.33,4.5,8.0
Belgium,Belgium Jupiler League,2008/2009,2,2008-08-23,RSC Anderlecht,AND,KAA Gent,GEN,2,2,4,1.65,3.4,5.0
Belgium,Belgium Jupiler League,2008/2009,2,2008-08-23,Standard de Liège,STL,KVC Westerlo,WES,3,0,3,1.33,4.2,10.0
Belgium,Belgium Jupiler League,2008/2009,2,2008-08-24,RAEC Mons,MON,KRC Genk,GEN,3,1,4,3.6,3.3,1.95
Belgium,Belgium Jupiler League,2008/2009,2,2008-08-23,Sporting Charleroi,CHA,KSV Roeselare,ROS,1,0,1,1.5,3.6,6.5
Belgium,Belgium Jupiler League,2008/2009,2,2008-08-23,Sporting Lokeren,LOK,Tubize,TUB,4,1,5,1.65,3.6,4.75
Belgium,Belgium Jupiler League,2008/2009,2,2008-08-23,Royal Excel Mouscron,MOU,KV Mechelen,MEC,3,1,4,02.05,3.3,3.4
Belgium,Belgium Jupiler League,2008/2009,2,2008-08-23,KV Kortrijk,KOR,KSV Cercle Brugge,CEB,2,1,3,3.0,3.25,2.2
Belgium,Belgium Jupiler League,2008/2009,2,2008-08-23,Beerschot AC,BAC,FCV Dender EH,DEN,1,1,2,1.53,3.75,5.5
Belgium,Belgium Jupiler League,2008/2009,20,2009-01-31,KV Kortrijk,KOR,RSC Anderlecht,AND,1,3,4,4.75,3.6,1.66
Belgium,Belgium Jupiler League,2008/2009,20,2009-02-01,Sporting Lokeren,LOK,KRC Genk,GEN,1,2,3,2.4,3.25,2.7
Belgium,Belgium Jupiler League,2008/2009,20,2009-01-31,RAEC Mons,MON,KSV Cercle Brugge,CEB,1,1,2,3.25,3.2,2.2
Belgium,Belgium Jupiler League,2008/2009,20,2009-02-01,Sporting Charleroi,CHA,KAA Gent,GEN,2,5,7,2.6,3.25,2.5
Belgium,Belgium Jupiler League,2008/2009,20,2009-01-31,Royal Excel Mouscron,MOU,FCV Dender EH,DEN,0,2,2,1.57,3.5,5.5
Belgium,Belgium Jupiler League,2008/2009,20,2009-01-31,SV Zulte-Waregem,ZUL,KV Mechelen,MEC,1,1,2,1.8,3.4,4.0
Belgium,Belgium Jupiler League,2008/2009,20,2009-01-31,Standard de Liège,STL,KSV Roeselare,ROS,3,0,3,1.2,5.5,11.0
Belgium,Belgium Jupiler League,2008/2009,20,2009-01-31,Club Brugge KV,CLB,Tubize,TUB,3,1,4,1.3,5.0,8.5
Belgium,Belgium Jupiler League,2008/2009,20,2009-01-31,Beerschot AC,BAC,KVC Westerlo,WES,2,1,3,1.9,3.3,3.6
Belgium,Belgium Jupiler League,2008/2009,21,2009-02-07,FCV Dender EH,DEN,Club Brugge KV,CLB,0,2,2,4.33,3.4,1.72
Belgium,Belgium Jupiler League,2008/2009,21,2009-02-06,KV Kortrijk,KOR,Standard de Liège,STL,0,2,2,5.0,3.75,1.66
Belgium,Belgium Jupiler League,2008/2009,21,2009-02-07,RSC Anderlecht,AND,RAEC Mons,MON,3,2,5,1.2,5.5,13.0
Belgium,Belgium Jupiler League,2008/2009,21,2009-02-07,KRC Genk,GEN,SV Zulte-Waregem,ZUL,1,2,3,1.66,3.4,4.75
Belgium,Belgium Jupiler League,2008/2009,21,2009-02-08,KSV Cercle Brugge,CEB,Sporting Charleroi,CHA,2,2,4,1.57,3.5,5.5
Belgium,Belgium Jupiler League,2008/2009,21,2009-02-08,KVC Westerlo,WES,Sporting Lokeren,LOK,1,0,1,2.0,3.2,3.5
Belgium,Belgium Jupiler League,2008/2009,21,2009-02-07,Tubize,TUB,KV Mechelen,MEC,1,5,6,2.5,3.2,2.62
Belgium,Belgium Jupiler League,2008/2009,21,2009-02-07,KAA Gent,GEN,Royal Excel Mouscron,MOU,2,0,2,1.57,3.5,5.5
Belgium,Belgium Jupiler League,2008/2009,21,2009-02-07,KSV Roeselare,ROS,Beerschot AC,BAC,2,2,4,3.1,3.2,2.15
Belgium,Belgium Jupiler League,2008/2009,22,2009-02-15,Sporting Charleroi,CHA,RSC Anderlecht,AND,0,1,1,4.33,3.5,1.72
Belgium,Belgium Jupiler League,2008/2009,22,2009-02-15,Club Brugge KV,CLB,KRC Genk,GEN,0,2,2,1.9,3.25,3.8
Belgium,Belgium Jupiler League,2008/2009,22,2009-02-14,Beerschot AC,BAC,KSV Cercle Brugge,CEB,1,1,2,2.15,3.3,3.1
Belgium,Belgium Jupiler League,2008/2009,22,2009-02-14,KV Mechelen,MEC,KAA Gent,GEN,3,3,6,2.7,3.3,2.37
Belgium,Belgium Jupiler League,2008/2009,22,2009-02-14,SV Zulte-Waregem,ZUL,FCV Dender EH,DEN,1,0,1,1.57,3.5,5.75
Belgium,Belgium Jupiler League,2008/2009,22,2009-02-14,Sporting Lokeren,LOK,KSV Roeselare,ROS,2,1,3,1.66,3.4,5.0
Belgium,Belgium Jupiler League,2008/2009,22,2009-02-14,RAEC Mons,MON,KV Kortrijk,KOR,1,1,2,2.1,3.3,3.2
Belgium,Belgium Jupiler League,2008/2009,22,2009-02-14,Standard de Liège,STL,Tubize,TUB,4,0,4,1.22,5.75,10.0
Belgium,Belgium Jupiler League,2008/2009,22,2009-02-14,Royal Excel Mouscron,MOU,KVC Westerlo,WES,0,0,0,2.4,3.3,2.7
Belgium,Belgium Jupiler League,2008/2009,23,2009-02-22,KVC Westerlo,WES,Club Brugge KV,CLB,1,1,2,2.7,3.2,2.45
Belgium,Belgium Jupiler League,2008/2009,23,2009-02-22,RSC Anderlecht,AND,Standard de Liège,STL,4,2,6,2.25,3.2,3.0
Belgium,Belgium Jupiler League,2008/2009,23,2009-02-21,KSV Roeselare,ROS,RAEC Mons,MON,3,2,5,2.1,3.25,3.25
Belgium,Belgium Jupiler League,2008/2009,23,2009-02-21,Tubize,TUB,SV Zulte-Waregem,ZUL,0,6,6,3.0,3.2,2.2
Belgium,Belgium Jupiler League,2008/2009,23,2009-02-21,KV Kortrijk,KOR,Sporting Charleroi,CHA,1,1,2,2.1,3.4,3.1
Belgium,Belgium Jupiler League,2008/2009,23,2009-02-21,KSV Cercle Brugge,CEB,Sporting Lokeren,LOK,0,0,0,1.8,3.4,4.0
Belgium,Belgium Jupiler League,2008/2009,23,2009-02-21,FCV Dender EH,DEN,KV Mechelen,MEC,1,2,3,2.3,3.2,2.87
Belgium,Belgium Jupiler League,2008/2009,23,2009-02-20,KRC Genk,GEN,Royal Excel Mouscron,MOU,1,1,2,1.4,4.5,8.0
Belgium,Belgium Jupiler League,2008/2009,23,2009-02-21,KAA Gent,GEN,Beerschot AC,BAC,1,3,4,1.66,3.4,5.0
Belgium,Belgium Jupiler League,2008/2009,24,2009-02-28,Royal Excel Mouscron,MOU,RSC Anderlecht,AND,1,1,2,5.75,3.75,1.55
Belgium,Belgium Jupiler League,2008/2009,24,2009-02-27,KV Mechelen,MEC,KRC Genk,GEN,2,1,3,3.0,3.4,2.3
Belgium,Belgium Jupiler League,2008/2009,24,2009-02-28,Sporting Charleroi,CHA,RAEC Mons,MON,3,0,3,2.0,3.4,3.4
Belgium,Belgium Jupiler League,2008/2009,24,2009-03-01,Standard de Liège,STL,KSV Cercle Brugge,CEB,4,0,4,1.44,3.75,7.5
Belgium,Belgium Jupiler League,2008/2009,24,2009-03-01,Sporting Lokeren,LOK,KAA Gent,GEN,0,1,1,2.62,3.25,2.45
Belgium,Belgium Jupiler League,2008/2009,24,2009-02-28,Club Brugge KV,CLB,KSV Roeselare,ROS,2,1,3,1.36,4.5,6.5
Belgium,Belgium Jupiler League,2008/2009,24,2009-02-28,Beerschot AC,BAC,KV Kortrijk,KOR,3,0,3,1.66,3.75,4.75
Belgium,Belgium Jupiler League,2008/2009,24,2009-02-28,FCV Dender EH,DEN,Tubize,TUB,4,0,4,1.85,3.3,4.0
Belgium,Belgium Jupiler League,2008/2009,24,2009-02-28,SV Zulte-Waregem,ZUL,KVC Westerlo,WES,1,1,2,2.0,3.25,3.5
Belgium,Belgium Jupiler League,2008/2009,25,2009-03-08,KSV Cercle Brugge,CEB,Club Brugge KV,CLB,1,3,4,2.8,3.2,2.37
Belgium,Belgium Jupiler League,2008/2009,25,2009-03-06,RAEC Mons,MON,Standard de Liège,STL,0,1,1,6.5,3.6,1.57
Belgium,Belgium Jupiler League,2008/2009,25,2009-03-07,RSC Anderlecht,AND,SV Zulte-Waregem,ZUL,2,0,2,1.4,4.5,8.0
Belgium,Belgium Jupiler League,2008/2009,25,2009-03-07,KV Kortrijk,KOR,Sporting Lokeren,LOK,2,3,5,2.4,3.1,3.1
Belgium,Belgium Jupiler League,2008/2009,25,2009-03-07,KRC Genk,GEN,FCV Dender EH,DEN,4,3,7,1.4,4.5,8.0
Belgium,Belgium Jupiler League,2008/2009,25,2009-03-08,KVC Westerlo,WES,KV Mechelen,MEC,0,1,1,1.8,3.4,4.2
Belgium,Belgium Jupiler League,2008/2009,25,2009-03-07,KSV Roeselare,ROS,Royal Excel Mouscron,MOU,2,0,2,1.85,3.6,4.0
Belgium,Belgium Jupiler League,2008/2009,25,2009-03-07,KAA Gent,GEN,Tubize,TUB,2,0,2,1.28,5.5,9.5
Belgium,Belgium Jupiler League,2008/2009,25,2009-03-07,Sporting Charleroi,CHA,Beerschot AC,BAC,0,0,0,2.5,3.25,2.8
Belgium,Belgium Jupiler League,2008/2009,26,2009-03-13,KV Mechelen,MEC,RSC Anderlecht,AND,2,1,3,4.5,3.6,1.75
Belgium,Belgium Jupiler League,2008/2009,26,2009-03-15,Standard de Liège,STL,KRC Genk,GEN,2,0,2,1.57,3.5,6.0
Belgium,Belgium Jupiler League,2008/2009,26,2009-03-14,Beerschot AC,BAC,RAEC Mons,MON,2,0,2,,,
Belgium,Belgium Jupiler League,2008/2009,26,2009-03-14,Sporting Lokeren,LOK,Sporting Charleroi,CHA,0,0,0,2.1,3.25,3.6
Belgium,Belgium Jupiler League,2008/2009,26,2009-03-14,FCV Dender EH,DEN,KSV Cercle Brugge,CEB,1,0,1,2.88,3.4,2.38
Belgium,Belgium Jupiler League,2008/2009,26,2009-03-15,Club Brugge KV,CLB,KAA Gent,GEN,1,4,5,1.8,3.4,4.0
Belgium,Belgium Jupiler League,2008/2009,26,2009-03-14,SV Zulte-Waregem,ZUL,KSV Roeselare,ROS,0,0,0,1.75,3.5,4.75
Belgium,Belgium Jupiler League,2008/2009,26,2009-03-14,Royal Excel Mouscron,MOU,KV Kortrijk,KOR,1,0,1,2.7,3.25,2.62
Belgium,Belgium Jupiler League,2008/2009,26,2009-03-14,Tubize,TUB,KVC Westerlo,WES,1,2,3,4.33,3.6,1.8
Belgium,Belgium Jupiler League,2008/2009,27,2009-03-20,KV Kortrijk,KOR,Club Brugge KV,CLB,2,3,5,3.75,3.3,2.0
Belgium,Belgium Jupiler League,2008/2009,27,2009-03-22,Sporting Charleroi,CHA,Standard de Liège,STL,1,0,1,4.75,3.5,1.66
Belgium,Belgium Jupiler League,2008/2009,27,2009-03-22,KAA Gent,GEN,SV Zulte-Waregem,ZUL,1,0,1,1.65,3.6,4.75
Belgium,Belgium Jupiler League,2008/2009,27,2009-03-21,RAEC Mons,MON,Sporting Lokeren,LOK,0,2,2,2.25,3.2,3.0
Belgium,Belgium Jupiler League,2008/2009,27,2009-03-21,KVC Westerlo,WES,FCV Dender EH,DEN,3,1,4,1.57,3.75,5.25
Belgium,Belgium Jupiler League,2008/2009,27,2009-03-21,KSV Roeselare,ROS,KV Mechelen,MEC,1,0,1,2.2,3.3,3.0
Belgium,Belgium Jupiler League,2008/2009,27,2009-03-21,KSV Cercle Brugge,CEB,Royal Excel Mouscron,MOU,0,1,1,1.57,3.75,5.25
Belgium,Belgium Jupiler League,2008/2009,27,2009-03-21,KRC Genk,GEN,Tubize,TUB,3,0,3,1.22,5.5,11.0
Belgium,Belgium Jupiler League,2008/2009,27,2009-03-21,RSC Anderlecht,AND,Beerschot AC,BAC,2,0,2,1.4,4.0,7.0
Belgium,Belgium Jupiler League,2008/2009,28,2009-04-05,Sporting Lokeren,LOK,RSC Anderlecht,AND,0,0,0,5.0,3.6,1.6
Belgium,Belgium Jupiler League,2008/2009,28,2009-04-04,Royal Excel Mouscron,MOU,RAEC Mons,MON,3,2,5,1.9,3.3,4.2
Belgium,Belgium Jupiler League,2008/2009,28,2009-04-04,Club Brugge KV,CLB,Sporting Charleroi,CHA,2,1,3,1.5,4.0,7.0
Belgium,Belgium Jupiler League,2008/2009,28,2009-04-04,SV Zulte-Waregem,ZUL,KSV Cercle Brugge,CEB,3,1,4,2.0,3.4,3.6
Belgium,Belgium Jupiler League,2008/2009,28,2009-04-04,FCV Dender EH,DEN,KAA Gent,GEN,1,1,2,4.75,3.6,1.72
